AreaId,EnemyType,HP,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Oni,30,200,0,-1500,0,-3.1415927,0,1,1,1
1,Oni,30,400,0,-3200,0,-3.1415927,0,1,1,1
1,Oni,30,350,0,-3600,0,-3.1415927,0,1,1,1
1,BigMan,60,300,0,-4000,0,-3.1415927,0,2,2,2
2,Oni,30,-4000,0,-6500,0,-3.1415927,0,1,1,1
2,Oni,30,-3800,0,-6400,0,-3.1415927,0,1,1,1
2,Oni,30,-4500,0,-6800,0,-3.1415927,0,1,1,1
2,BigMan,60,-4800,0,-6500,0,-3.1415927,0,2,2,2
2,BigMan,60,-3600,0,-7000,0,-3.1415927,0,2,2,2
3,Boss,100,-4100,0,-13000,0,-3.1415927,0,8,8,8
